,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,grade
0,24.7554039405,11.9301920235,16.3429923112,15.4682539683,7.07183170857,498.0,43.0,3.0,310.0,331.0,64.0,135.0,18.0,167.0,840.0,1135.0,773.0,41.0,126.0,six
1,24.1472278799,11.9397749423,16.3644461458,21.2127659574,7.16850551655,261.0,20.0,9.0,164.0,152.0,38.0,56.0,11.0,44.0,410.0,570.0,412.0,15.0,47.0,six
2,24.5345540126,12.2707702689,16.625760933,18.7234042553,7.20113636364,222.0,15.0,6.0,156.0,139.0,27.0,68.0,4.0,57.0,390.0,478.0,386.0,16.0,47.0,six
3,25.3795623379,12.8225845314,17.2232981221,23.5,6.79290780142,202.0,20.0,5.0,100.0,118.0,22.0,32.0,21.0,49.0,272.0,420.0,282.0,3.0,30.0,six
4,23.2981804397,12.0799529924,15.6671588529,28.6666666667,7.72286821705,130.0,10.0,4.0,86.0,66.0,41.0,34.0,6.0,16.0,227.0,244.0,261.0,11.0,18.0,six
5,23.4983004451,11.7259553628,16.2236806402,20.7368421053,6.90482233503,197.0,10.0,3.0,158.0,143.0,25.0,42.0,2.0,56.0,368.0,478.0,304.0,6.0,38.0,six
6,24.0416547659,12.309229764,16.4185092944,30.35,7.215815486,338.0,29.0,11.0,220.0,161.0,52.0,49.0,17.0,68.0,482.0,647.0,544.0,23.0,40.0,six
7,22.8212804276,11.8871028753,15.8448968603,19.8333333333,7.47198879552,186.0,10.0,3.0,131.0,118.0,22.0,27.0,4.0,54.0,298.0,378.0,315.0,21.0,36.0,six
8,22.0525347348,11.7050577698,15.3582898663,22.21875,7.58087201125,195.0,10.0,7.0,196.0,104.0,25.0,19.0,3.0,19.0,344.0,356.0,331.0,24.0,32.0,six
9,24.763793056,12.8051614541,16.6862855657,24.4242424242,6.92555831266,278.0,3.0,2.0,151.0,112.0,15.0,27.0,10.0,80.0,305.0,459.0,339.0,8.0,33.0,six
